Updated at 17:45:55;Constituent Name;Constituent RIC;NCAIS;ESG_Grade_01/01/2021;ESG_Grade_01/01/2022;ESG_Grade_01/01/2023;ESG_Grade_01/01/2024;ESG_Score_01/01/2021;ESG_Score_01/01/2022;ESG_Score_01/01/2023;ESG_Score_01/01/2024;Social_Score_01/01/2021;Social_Score_01/01/2022;Social_Score_01/01/2023;Social_Score_01/01/2024;Governance_Score_01/01/2021;Governance_Score_01/01/2022;Governance_Score_01/01/2023;Governance_Score_01/01/2024;Environment_Score_01/01/2021;Environment_Score_01/01/2022;Environment_Score_01/01/2023;Environment_Score_01/01/2024;Controversies_Score_01/01/2021;Controversies_Score_01/01/2022;Controversies_Score_01/01/2023;Controversies_Score_01/01/2024
.SPX;METLIFE ORD;MET.N;52;B-;B;B+;B+;55,98408382;62,87384779;69,57652996;69,57652996;71,46568361;69,66776083;74,8303347;74,8303347;28,26532829;48,35631548;59,14093503;59,14093503;84,95475113;82,64774906;82,49499816;82,49499816;18;100;65,85365854;65,85365854
.SPX;META PLATFORMS ORD A;META.OQ;51;B;B;B+;B+;61,48660717;64,3403411;66,96698634;66,96698634;59,27523175;64,5484819;61,72392867;61,72392867;66,97510707;68,60386906;69,38242583;69,38242583;49,53907396;49,53114007;73,96503879;73,96503879;2,5;1,578947368;1,893939394;1,893939394
.SPX;MGM RESORTS ORD;MGM.N;72;B;B+;B+;B+;60,59183722;72,0691102;71,20308898;71,20308898;47,99150701;55,87590328;55,45863821;55,45863821;57,66831664;80,49612755;76,27037707;76,27037707;84,84074379;89,6944358;91,81352015;91,81352015;10,46511628;100;15,07936508;15,07936508
.SPX;MOHAWK INDUSTRIES ORD;MHK.N;31-33;B-;B-;B;B;51,95703246;55,84053241;58,8251649;58,8251649;57,41471847;68,90221297;67,27563493;67,27563493;45,92434588;37,76307058;44,46917152;44,46917152;50,31891026;54,64981447;60,05017087;60,05017087;100;100;86,36363636;86,36363636
.SPX;MCCORMICK ORD;MKC.N;31-33;B+;B+;A-;A-;73,42373143;71,8329851;80,12683062;80,12683062;61,32511798;63,98550399;73,16330242;73,16330242;74,54252202;64,82398313;76,16019381;76,16019381;91,41002676;90,53089915;94,67052707;94,67052707;100;100;100;100
.SPX;MARKETAXESS ORD;MKTX.OQ;52;B-;B-;C+;C+;54,21072653;53,25412696;49,61948941;49,61948941;66,27223101;66,83652328;70,05699415;70,05699415;52,80262077;50,61484753;37,94303128;37,94303128;24,95351093;23,81979472;31,01322539;31,01322539;100;100;100;100
.SPX;MARTIN MARIETTA ORD;MLM.N;21;C;C+;C+;C+;40,74929779;43,517263;41,96160391;41,96160391;40,45729838;41,21492507;37,15550898;37,15550898;83,82612669;90,65229364;89,47644498;89,47644498;16,60217403;18,69775147;18,95058191;18,95058191;100;100;100;100
.SPX;MARSH AND MCLENNAN ORD;MMC.N;52;B-;B-;B;B;56,12585455;52,95384053;63,20908877;63,20908877;58,33076125;65,17059519;61,41587655;61,41587655;59,09290824;42,46553199;71,90489585;71,90489585;39,50752;41,66012486;43,39791033;43,39791033;68,75;65,85365854;100;100
.SPX;3M ORD;MMM.N;31-33;A+;A;A;A;92,1096218;88,53962317;90,35028408;90,35028408;97,46954379;95,60917367;93,97741514;93,97741514;87,51582077;75,52287128;87,22958944;87,22958944;89,29305757;89,56855137;88,4524645;88,4524645;31,81818182;21,42857143;4,166666667;4,166666667
.SPX;MONSTER BEVERAGE ORD;MNST.OQ;31-33;C;C;C+;C+;37,00617139;41,58731197;42,65278067;42,65278067;43,73114839;47,01543269;47,85133924;47,85133924;51,45388985;56,23259769;56,19060124;56,19060124;14,66100146;21,06481481;23,40495388;23,40495388;100;100;100;100
.SPX;ALTRIA GROUP ORD;MO.N;31-33;A;A-;A;A;89,5351259;82,62795583;86,32341962;86,32341962;92,84741041;93,68296553;93,0872362;93,0872362;83,27010688;56,14347113;70,00146711;70,00146711;90,02796903;89,34057818;90,53758375;90,53758375;4,166666667;38,15789474;27,27272727;27,27272727
.SPX;MOLINA HLTHCRE ORD;MOH.N;62;C;B-;B-;B-;38,28839476;50,82068862;51,4001188;51,4001188;35,99894258;38,39451862;48,53687549;48,53687549;49,93047158;74,3106051;65,40545174;65,40545174;20,49892636;33,66366366;30,26123688;30,26123688;100;100;100;100
.SPX;THE MOSAIC COMPANY ORD;MOS.N;31-33;B+;B+;B+;B+;69,62155101;69,99691241;69,76253486;69,76253486;80,41777191;78,50783239;77,32456632;77,32456632;89,5251924;95,46248817;91,85785374;91,85785374;48,00047294;47,41944628;50,00285878;50,00285878;100;100;60,71428571;60,71428571
.SPX;MARATHON PETROLEUM ORD;MPC.N;31-33;B+;A-;A-;A-;68,83286064;76,44897944;78,10851233;78,10851233;80,20013358;81,68868443;85,97758347;85,97758347;48,36034612;75,72958956;77,23427768;77,23427768;68,96982277;70,56846761;69,13650628;69,13650628;65,47619048;76,85185185;10,34482759;10,34482759
.SPX;MONOLITHIC POWER SYSTEMS ORD;MPWR.OQ;31-33;C;NULL;C+;C+;34,1719872;NULL;41,70730114;41,70730114;37,47074158;NULL;40,37028496;40,37028496;50,21866183;NULL;57,5405934;57,5405934;16,26397107;NULL;30,35128817;30,35128817;100;NULL;100;100
.SPX;MERCK & CO INC ORD;MRK.N;31-33;A-;A-;A-;A-;79,4699553;75,247166;75,40140994;75,40140994;93,17745797;93,1237004;93,14102016;93,14102016;58,81166922;43,08715905;44,96798607;44,96798607;79,7061165;82,67151065;80,75035804;80,75035804;100;57,53424658;47,22222222;47,22222222
.SPX;MODERNA INC ORD;MRNA.OQ;54;B-;B+;A-;A-;53,12052912;69,58042166;78,98019043;78,98019043;59,25305157;57,99424139;77,84568107;77,84568107;58,19772517;72,55339971;77,51389726;77,51389726;37,12362103;80,95540098;82,73012631;82,73012631;26,19047619;45,94594595;55,55555556;55,55555556
.SPX;MARATHON OIL ORD;MRO.N;21;B+;B+;B+;B+;72,33993158;69,1188504;68,01077322;68,01077322;69,90379342;74,76839788;73,6160061;73,6160061;85,74245011;86,84173894;84,33029268;84,33029268;66,16397331;50,16572661;50,06837452;50,06837452;100;100;100;100
