Name Tag Score Industry
Salesforce CRM 61 "SOF Software"
"Cisco Systems" CSCO 66 "CMT Communications Equipment"
"Costar Group" CSGP 36 "PRO Professional Services"
Csx CSX 51 "TRA Transportation and Transportation Infrastructure"
Cintas CTAS 35 "ICS Commercial Services & Supplies"
Catalent CTLT 39 "DRG Pharmaceuticals"
"Coterra Energy" CTRA 39 "OGX Oil & Gas Upstream & Integrated"
"Cognizant Tech Solutions" CTSH NA NA
Corteva CTVA 50 "CHM Chemicals"
"Cvs Health" CVS 64 "HEA Health Care Providers & Services"
Chevron CVX 38 "OGX Oil & Gas Upstream & Integrated"
"Caesars Entertainment" CZR 47 "CNO Casinos & Gaming"
"Dominion Energy" D 38 "MUW Multi and Water Utilities"
"Delta Air Lines" DAL 43 "AIR Airlines"
"Dupont De Nemours" DD NA NA
"Deere &" DE 49 "IEQ Machinery and Electrical Equipment"
"Discover Financial Services" DFS 33 "FBN Diversified Financial Services and Capital Markets"
"Dollar General" DG 32 "FDR Food & Staples Retailing"
"Quest Diagnostics" DGX 56 "HEA Health Care Providers & Services"
"Dr Horton" DHI NA NA
Danaher DHR 53 "LIF Life Sciences Tools & Services"
"Walt Disney" DIS 45 "PUB Media, Movies & Entertainment"
"Digital Realty Trust" DLR 63 "REI Equity Real Estate Investment Trusts (REITs)"
"Dollar Tree" DLTR 27 "FDR Food & Staples Retailing"
Dover DOV 37 "IEQ Machinery and Electrical Equipment"
Dow DOW 22 "CNO Casinos & Gaming"
"Domino  Pizza" DPZ NA NA
"Darden Restaurants" DRI 31 "REX Restaurants & Leisure Facilities"
"Dte Energy Company" DTE 37 "MUW Multi and Water Utilities"
"Duke Energy" DUK 59 "ELC Electric Utilities"
Davita DVA 62 "HEA Health Care Providers & Services"
"Devon Energy" DVN 50 "OGX Oil & Gas Upstream & Integrated"
"Dxc Technology" DXC 56 "TSV IT services"
Dexcom DXCM 43 "MTC Health Care Equipment & Supplies"
"Electronic Arts" EA 32 "IMS Interactive Media, Services & Home Entertainment"
Ebay EBAY 62 "RTS Retailing"
Ecolab ECL 74 "CHM Chemicals"
"Consolidated Edison" ED 42 "MUW Multi and Water Utilities"
Equifax EFX 29 "PRO Professional Services"
"Everest Group" EG 29 "INS Insurance"
"Edison International" EIX 44 "ELC Electric Utilities"
"Estee Lauder Companies" EL NA NA
"Elevance Health" ELV 63 "HEA Health Care Providers & Services"
"Eastman Chemical" EMN 48 "CHM Chemicals"
"Emerson Electric" EMR 38 "ELQ Electrical Components & Equipment"
"Enphase Energy" ENPH 31 "SEM Semiconductors & Semiconductor Equipment"
"Eog Resources" EOG 40 "OGX Oil & Gas Upstream & Integrated"
"Epam Systems" EPAM 38 "TSV IT services"
Equinix EQIX 59 "REI Equity Real Estate Investment Trusts (REITs)"
"Equity Residential" EQR 55 "REI Equity Real Estate Investment Trusts (REITs)"
Eqt EQT 66 "FBN Diversified Financial Services and Capital Markets"
"Eversource Energy" ES 50 "ELC Electric Utilities"
"Essex Property Trust" ESS 38 "REI Equity Real Estate Investment Trusts (REITs)"
