legalentityidentifier;obligorname
E0KSF7PFQ210NWI8Z391;Deere (John) Capital Corp.
KNIRVXKVNJJ4P8OTMS63;San Diego Gas & Electric Co.
XY0N0J73VHV5F4CUJV89;Southern California Gas Co.
E1OI0SEUGJMPPTKRDD35;Walgreen Co.
549300D3EIDZJB62TR20;Ooredoo Q.P.S.C.
XO75O7GICH1NPWLBRL05;Rockwell Collins Inc.
213800KV4UPUMKNZF512;Tekniska verken i Linkoping AB
5299000ZA0O5Z5N2HE95;EDF Energy Customers Ltd
529900JSAXHBYN4WOI25;EDF Energy Limited
529900N8OA1GVSR5R946;Energie AG Oberoesterreich
353800VHYYADPR6MXQ47;INPEX Corporation
MSD54751OJP1FS2ND863;Hormel Foods Corp.
353800QDHNIP60E1LQ93;Japan Metropolitan Fund Investment Corp.
LAXUQCHT4FH58LRZDY46;ENGIE SA
549300ZDNPE0178O3T39;GIE ENGIE Alliance
HCHV7422L5HDJZCRFL38;Thermo Fisher Scientific Inc.
7QEON6Y1RL5XR3R1W237;Air Products and Chemicals Inc.
5493007JDSMX8Z5Z1902;Cell Soup Company
ZXTILKJKG63JELOEG630;Amazon.com Inc.
5493008PCUJ6S68FXW44;Mex Gas Supply S.L.
213800T8PC8Q4FYJZR07;Atlas Copco AB
21X2CX66SU2BR6QTAD08;Hershey Company (The)
2549000BCUSHGY6SZW33;CLP Power Hong Kong Ltd.
OML71K8X303XQONU6T67;eBay Inc.
549300KHE8RW8HMIG365;London Hydro Inc.
549300Q3448N041CTH56;Acea SpA
549300VFZ8XJ9NUPU221;Estee Lauder Companies Inc. (The)
529900HUN51H3Y7QBB66;Spark New Zealand Limited
JE4WFFEELMVPFZ0G1E77;AGC Inc.
I07WOS4YJ0N7YRFE7309;Raytheon Technologies Corp
549300QFGUMPI1EEDK67;Manchester Airport Group PLC (The)
FJSUNZKFNQ5YPJ5OT455;PepsiCo Inc.
WAFCR4OKGSC504WU3E95;Lowe's Cos. Inc.
5493006QLXGXXIVPCI74;Enersource Corporation
9884003WEA1PHW006037;SK Telecom Co. Ltd.
5493005SP87FL5TOS202;Sumitomo Electric Industries Ltd.
969500ASEC557H5A4F22;ELO
5493005EPDKN0HV41W04;Queensland Sugar Ltd.
213800QQR9T6HJRBZW22;Horizon Holdings Inc.
1Z4GXXU7ZHVWFCD8TV52;Oracle Corp.
213800WRQK4NFAUQ4Q03;Sumitomo Corp Capital Europe PLC
MS3EH353583WSFYQKX90;Sumitomo Corp of Americas
V82KK8NH1P0JS71FJC05;Sumitomo Corp.
V167QI9I69W364E2DY52;TJX Companies Inc.
PCTXNQGRJVR3OG33JG65;Telstra Corp. Ltd.
4469000001BFPONMPF32;Comision Federal De Electricidad (CFE)
969500MMPQVHK671GT54;L'Air Liquide S.A.
UQZ4EDMHL4ZESPZY3752;Motiva Enterprises LLC
988400E5HRVX81AYLM04;POSCO Holdings Inc.
549300HTOMQG20JYV568;Syngenta AG
GLU7INWNWH88J9XBXD45;DuPont (E.I.) De Nemours & Co.
549300VZCL1HTH4O4Y49;Henkel AG & Co. KGaA
529900BOSCEEEMAFQJ29;Graham Holdings Co.
ENYF8GB5SMQZ25S06U51;Halliburton Co.
FGLT0EWZSUIRRITFOA30;Emerson Electric Co.
IOG4E947OATN0KJYSD45;LVMH Moet Hennessy Louis Vuitton S.E.
VH3R4HHBHH12O0EXZJ88;Rockwell Automation Inc.
529900A9NX1TM65N4176;KELAG
5493005SL9HHOXS3B739;Swisscom AG
353800NJOQJAY1ODEX72;Japan Prime Realty Investment Corp.
549300TRXM9Y6561AX39;Mitsubishi Electric Corp.
5493002CONDB4N2HKI23;Parker-Hannifin Corp.
969500SHQITWXSIS7N89;Unibail-Rodamco-Westfield SE
549300LO13MQ9HYSTR83;Archer Daniels Midland Co.
353800ZCXKHDPY0N5218;Fast Retailing Co. Ltd.
549300LRF8PWZNJ8BC94;407 International Inc.
529900Y98W871EJDFU73;Adolf Wuerth GmbH & Co. KG
25490033CKNJK62I9Z89;PMI Norteamerica, S.A. de C.V.
5493003RZQYJM7QGNE15;Petroliam Nasional Berhad
549300DO45GAL59Z5L07;AMP Capital Shopping Centre Fund
ZUNI8PYC725B6H8JU438;Cummins Inc.
8156009E94ED54DE7C31;Terna SpA
5493008CF4GFRRX6DX57;Panasonic Finance (America), Inc.
254900GE1G59KGWPHX32;Panasonic Holdings Corp.
300300G0LCC0PRLYMN91;China Baowu Steel Group Corp. Ltd.
549300CWRXC5EP004533;Proximus S.A.
5493004JXXFB454B6L79;ABB Finance B.V.
5493005GZE25VIBF4P73;Eni Lasmo PLC
BUCRF72VH5RBN7X3VL35;Eni SpA
549300HFIB2GRUMDID72;Ricoh Co. Ltd.
724500X1EIV52K3XNO30;Ricoh Finance Nederland B.V.
54930000W4NL8IYKJC67;Inter Pipeline (Corridor) Inc.
