lei;rics
549300DBMVMDH2W77U89;NA
529900XTSVH0DH4CEX74;0855.HK
MB0UERO0RDFKU8258G77;LEVI.K
529900KQ44OJDIDU6J81;NA
549300RKVM2ME20JHZ15;SCI
5493007S02F45LLHOD64;NA
254900DCL95WTK6VYD35;NA
378900E10332DF012A23;NA
549300WZN9I2QKLS0O94;CTVA.K
549300KTQCELOBO6BF21;NA
3912001SZXPUEQBYPR59;NA
549300K52N7QBO3PYY45;NA
3003005E7NY9IQW9AF89;601198.SS
5493002WL2W5WMS89568;CRNC.O
213800LBQA1Y9L22JB70;BARC.L
549300MKO5B60FFIHF58;600036.SS
549300KI55UHAOR54887;NA
549300TB888057VXHX84;NA
SDCMU2LVKGV2AF1KWP64;NA
724500SNT1MK246AHP04;DSMN.AS
549300MA7EMERVYDHS24;NA
SKAWBH4Z0RECR2N34P32;NA
4469000001CV8IG69B14;NA
549300D8GOWWH0SJB189;NI
549300H47WTHXPU08X20;NA
V167QI9I69W364E2DY52;TJX
5493006G5OTY2UBFD622;NA
5299002VRWVIPHAP7M02;NA
969500TJNS5GSFWJ8X85;SPIE.PA
549300WGPCNUFC4CVY19;DSUPQ.PK^J09
5493005V7ZG5K84MO728;NA
41BNNE1AFPNAZELZ6K07;AMAT.O
W47HVZ7Q6FXL86RELH91;ACIIQ.PK^J16
254900QBNI8YVB3U4R15;NA
2138006NIWZKTBTEQ490;NA
5299004181WFTEWB1398;IFS
549300OKA645L8GCEB81;NA
549300KCWA5W52MS5559;DEN
X2MT1W32SPAZ9WSKLE78;CHK.O
549300NQ32SRT0NWPB72;NA
2138008NNYIEXUG8X681;NA
OUG18NR543384L2ZB309;NA
529900RQ8PBIHVL6VG65;NA
529900ECSECK5ZDQTE14;CSL.AX
549300FJX18IDUFPHD40;GPOR.K
96950020FCS2UW7OXF94;NA
549300Z9LETKSOF29C38;BMET.O^J07
254900W2BN097WLYIM20;BRSR6.SA
54930031WU1KNWNY7T88;NA
549300WAKVLL4R5C3O58;NA
300300E1003931000068;600837.SS
529900LJ5O50S0F8P012;NA
XRZQ5S7HYJFPHJ78L959;AEE
5GCSNMQXHEYA1JO8QN11;MAS
5BANEF6PGSEK0SNMQF44;NA
549300IBY3K3EZT3UZ90;NA
529900IE6YK2TBN5H298;NA
549300DT8SH0CF6BTT37;NA
5493008LQUDBBNCLA408;NA
5493001SAYNEWH0DW196;NA
5493001HGBABMWFZUI25;NA
G4008SUSNH0WBKRVG414;NA
213800T38ERVY7FN8L42;NA
969500T6CCMW0KJ76U69;NA
549300ZD3IIN17PD7B47;LNY.N^J10
724500JX3LUPNMOBTY38;0EDK.L^J20
635400C8EK6DRI12LJ39;BIRG.I
300300CTUMXLCCRINH29;NA
2534000YUUCLHEAR4461;NA
549300VGO3JXB5GNB287;LQ^E18
213800AT5F7TFGX4UI14;NA
391200XH4I9QLL23DB49;NA
549300PXDEUZK6TQE635;CTC.SN
549300W05QKLNGQIIA73;NA
213800PP4399SNNXZ126;NA
254900787YGRYS2A1Z35;BYD
549300BJRHJVYNUMQZ30;WIPSI.PK^K15
529900OS67T49AW45S74;NA
IESWU3ORVB7T21TZOK62;NA
254900VPI91W77OOUM06;NA
2138002K6ECECHVCQN25;VCP.L
R0EVHK05K3F85LVM4R52;NI_p^E06
549300QNT8JU5K254956;NA
5493005I1X3PG0G3GC95;XIN
549300B2Q47IR0CR5B54;NA
300300OIOEUPS107G663;NA
549300487COLIJOB7F68;9993.HK
529900BPLDX5JGGINY31;NA
Z2VZBHUMB7PWWJ63I008;NA
529900H5E2RA9ZV7OE85;NA
3003000M9CE5AW3G0O57;NA
54930003MVWU9J14YE85;NA
213800D9BMW36V87CD79;NA
8IUGZ4RSNMJG05397M84;NA
549300JM5FECYJQ85V37;NA
549300ZMWPITCW5S0526;NA
549300DGWLWQWYI69G96;NA
5493009D85BF18WG1Z30;PGNPQ.PK^G17
549300UC8NY9TD9P6X22;NA
549300EJ48NYYDHMFB14;NA
2549009FXMW0NEPWK607;0013.HK^F15
5493009YHEZK6QT3KA32;NA
